date,price_per_90kg,is_harvest_season
2005-02-28,1666.5,1
2005-03-31,1700.1000000000001,0
2005-04-30,1633.5,0
2005-05-31,1660.1142857142859,0
2005-06-30,1700.1000000000001,1
2005-07-31,1616.775,1
2005-08-31,1533.45,1
2005-09-30,1450.125,0
2005-10-31,1446.9155357142856,0
2005-11-30,1443.7060714285715,0
2005-12-31,1440.496607142857,0
2006-01-31,1437.287142857143,1
2006-02-28,1434.0776785714286,1
2006-03-31,1430.8682142857142,0
2006-04-30,1427.65875,0
2006-05-31,1424.4492857142857,0
2006-06-30,1421.2398214285715,1
2006-07-31,1418.0303571428572,1
2006-08-31,1414.8208928571428,1
2006-09-30,1411.6114285714286,0
2006-10-31,1408.4019642857143,0
2006-11-30,1405.1925,0
2006-12-31,1401.9830357142857,0
2007-01-31,1398.7735714285714,1
2007-02-28,1395.5641071428572,1
2007-03-31,1392.3546428571428,0
2007-04-30,1389.1451785714285,0
2007-05-31,1385.9357142857143,0
2007-06-30,1382.72625,1
2007-07-31,1379.5167857142858,1
2007-08-31,1376.3073214285714,1
2007-09-30,1373.097857142857,0
2007-10-31,1369.888392857143,0
2007-11-30,1366.6789285714285,0
2007-12-31,1363.4694642857144,0
2008-01-31,1360.26,1
2008-02-29,1406.94,1
2008-03-31,1453.6200000000001,0
2008-04-30,1500.3000000000002,0
2008-05-31,1783.2,0
2008-06-30,2099.7,1
2008-07-31,2199.6,1
2008-08-31,2266.5,1
2008-09-30,2399.85,0
2008-10-31,2533.2,0
2008-11-30,2666.55,0
2008-12-31,2799.9,0
2009-01-31,2600.1,1
2009-02-28,2528.7428571428572,1
2009-03-31,2645.509090909091,0
2009-04-30,2859.84,0
2009-05-31,2779.92,0
2009-06-30,2700.0,1
2009-07-31,2690.918181818182,1
2009-08-31,2440.08,1
2009-09-30,2443.1142857142863,0
2009-10-31,2539.9800000000005,0
2009-11-30,2649.6,0
2009-12-31,2579.94,0
2010-01-31,2495.4105494505493,1
2010-02-28,2410.881098901099,1
2010-03-31,2326.3516483516482,0
2010-04-30,2241.822197802198,0
2010-05-31,2157.292747252747,0
2010-06-30,2072.763296703297,1
2010-07-31,1988.2338461538461,1
2010-08-31,1903.7043956043958,1
2010-09-30,1819.174945054945,0
2010-10-31,1734.6454945054948,0
2010-11-30,1650.116043956044,0
2010-12-31,1565.5865934065935,0
2011-01-31,1481.057142857143,1
2011-02-28,1584.5625,1
2011-03-31,2035.764,0
2011-04-30,2579.85,0
2011-05-31,2999.7,0
2011-06-30,3749.85,1
2011-07-31,4500.0,1
2011-08-31,3800.25,1
