date,price_per_90kg,is_harvest_season
2021-06-30,2666.7000000000003,1
2021-07-31,2600.1,1
2021-08-31,2462.625,1
2021-09-30,1974.5,0
2021-10-31,1892.2153846153847,0
2021-11-30,2218.8,0
2021-12-31,29.700000000000003,0
2022-01-31,1676.8125,1
2022-02-28,3415.05,1
2022-03-31,2787.5,0
2022-04-30,3735.75,0
2022-05-31,4400.047058823529,0
2022-06-30,4968.163636363636,1
2022-07-31,6252.030000000001,1
2022-08-31,6530.04,1
2022-09-30,6507.192857142857,0
2022-10-31,6194.6,0
2022-11-30,6150.0,0
2022-12-31,6319.9800000000005,0
2023-01-31,6428.442857142857,1
2023-02-28,6033.599999999999,1
2023-03-31,6266.7,0
2023-04-30,6200.400000000001,0
2023-05-31,6100.200000000001,0
2023-06-30,6900.3,1
2023-07-31,6335.742857142856,1
2023-08-31,5700.0,1
2023-09-30,5619.96,0
2023-10-31,5832.0,0
2023-11-30,6330.0,0
2023-12-31,5280.0,0
2024-01-31,4530.0,1
2024-02-29,2700.0,1
2024-03-31,2700.0,0
2024-04-30,2700.0,0
2024-05-31,2844.0,0
2024-06-30,3000.0,1
2024-07-31,3150.0,1
2024-08-31,3150.0,1
2024-09-30,3150.0,0
2024-10-31,3150.0,0
2024-11-30,3394.285714285714,0
2024-12-31,3638.5714285714284,0
2025-01-31,3882.857142857143,1
2025-02-28,4127.142857142857,1
2025-03-31,4371.428571428572,0
2025-04-30,4615.714285714286,0
2025-05-31,4860.0,0
2025-06-30,4950.0,1
2025-07-31,4800.0,1
2025-08-31,4650.0,1
2025-09-30,4500.0,0
2025-10-31,4500.0,0
2025-11-30,4500.0,0
2025-12-31,4500.0,0
2026-01-31,4500.0,1
2026-02-28,4500.0,1
2026-03-31,4500.0,0
2026-04-30,4500.0,0
2026-05-31,2250.9,0
