date,price_per_90kg,is_harvest_season
2021-05-31,8100.0,0
2021-06-30,7200.0,1
2021-07-31,7104.0,1
2021-08-31,7008.0,1
2021-09-30,6912.0,0
2021-10-31,9705.0375,0
2021-11-30,9480.0,0
2021-12-31,15000.3,0
2022-01-31,5035.95,1
2022-02-28,9000.0,1
2022-03-31,8525.025,0
2022-04-30,9333.300000000001,0
2022-05-31,11399.94,0
2022-06-30,10800.0,1
2022-07-31,10414.414285714285,1
2022-08-31,11499.975,1
2022-09-30,12150.0,0
2022-10-31,11880.0,0
2022-11-30,12439.8,0
2022-12-31,12999.6,0
2023-01-31,13500.0,1
2023-02-28,11700.0,1
2023-03-31,13099.800000000001,0
2023-04-30,12999.9,0
2023-05-31,8500.05,0
2023-06-30,8806.275,1
2023-07-31,9112.5,1
2023-08-31,8266.800000000001,1
2023-09-30,9750.0,0
2023-10-31,10075.05,0
2023-11-30,8433.300000000001,0
2023-12-31,8550.0,0
2024-01-31,7425.0,1
2024-02-29,6300.0,1
2024-03-31,6300.0,0
2024-04-30,6300.0,0
2024-05-31,7560.0,0
2024-06-30,7200.0,1
2024-07-31,7200.0,1
2024-08-31,7200.0,1
2024-09-30,8100.0,0
2024-10-31,10800.0,0
2024-11-30,11185.714285714286,0
2024-12-31,11571.42857142857,0
2025-01-31,11957.142857142857,1
2025-02-28,12342.857142857143,1
2025-03-31,12728.57142857143,0
2025-04-30,13114.285714285714,0
2025-05-31,13500.0,0
2025-06-30,8400.0,1
2025-07-31,9200.0,1
2025-08-31,10000.0,1
2025-09-30,10800.0,0
2025-10-31,11700.0,0
2025-11-30,11600.0,0
2025-12-31,11500.0,0
2026-01-31,11400.0,1
2026-02-28,11300.0,1
2026-03-31,11200.0,0
2026-04-30,11100.0,0
2026-05-31,10350.0,0
